otomotik otomatik
volker Walker
senator senatör
kuen kuzen
skuter scooter
gill Grill
icin için
moments moment
yogo yoga
surrealist sürrealist
ilm ilim
farkli farklı
animation animasyon
nasl nasıl
band bant
aborijinlerin Aborijin'lerin
tuvali tuval
arkin arkın
all al
zamani zamanı
maras Maraş
arasindaki arasındaki
kullanm kullanım
uyanik uyanık
tuvale tuvalet
vücud vücut
şöförlüğü şoförlüğü
boyo boya
dakin sakin
temal termal
blinders blender
hortkuluk korkuluk
oceans Ocean
eşşiz eşsiz
aray araya
byle böyle
worlds World
aktr aktar
orjinalinde orijinalinde
cıkıyor çıkıyor
ünkü çünkü
burdayım buradayım
okült okul
gorunen görünen
aki akü
yapayim yapayım
spray sprey
arad arada
önumüzde önümüzde
dolaysıyla dolayısıyla
nalet lanet
yukardaki yukarıdaki
sammi samimi
ocean Ocean'a
kubo Küba
içerisnde içerisinde
bekliyosun bekliyorsun
mahsulu mahsulü
dahan daha
yusufcuk yusufçuk
kalyor kalıyor
boylece böylece
gosterim gösterim
turn tur
süpriz sürpriz
our onur
iin için
turk türk
kadan kadar
sant sanat
dou dolu
sans şans
etel etek
dos dosya
soze söze
müsade müsaade
yurek yürek
gun gün
kullanilan kullanılan
gum güm
calışan çalışan
eksta ekstra
dog doğ
aie Air
paray para
hakkımda hakkında
paste pastel
paras para
goree göre
edek etek
abest abes
sıçak sıcak
hayward Harvard
yukardan yukarıdan
tamamıyle tamamıyla
taçı taç
düşünürek düşün
babas babası
ahh ah
cristal kristal
tamemen tamamen
silahşör silahşor
variyor varıyor
milliyetcilik milliyetçilik
babak bebek
danın odanın
kaldırı kaldır
nsan insan
söyleyebilirm söyleyebilirim
safı şafi
eleştrisi eleştirisi
istina istisna
vaadedilen vadedilen
lavant lavanta
vaad vaat
eleştri eleştiri
age ege
setii seti
tecih tercih
aladdin Alaaddin
sellers seller
byk büyük
kontolü kontrolü
pyun oyun
bye bey
merkesi merkezi
çerkes çerkez
fazl fazla
sonrasnda sonrasında
elemenlar elemanlar
masturbasyon mastürbasyon
ailes aile
enterasan enteresan
allahtan allah'tan
suprise sürpriz
söylebilirim söyleyebilirim
sırıl şırıl
danis danış
dakkada Dakika'da
locke Lock
manta mantar
kapur kaput
tadları tatları
nile bile
natali Natalie
whit White
olmanin olmanın
90lar 90'lar
ismli isimli
koymus köymüş
sevkat şefkat
herkezi herkesi
fotograflara fotoğraflara
uslüp üslup
teise tesise
ağıza ağız
animayon animasyon
tarafdan taraf
mayı mayıs
amac amaç
nika nikah
ado oda
tir tır
super süper
bier bir
ade iade
şehirin şehrin
boyleyse böyleyse
güreşci güreşçi
liu Liv
viktorya Viktoria
baslangıcında başlangıcında
control kontrol
aşrı aşırı
lil Lila
lik ilk
oksana Okşan'a
anaokul anaokulu
past pasta
acr açar
dis dış
got göt
dir direk
lie ile
fınal final
çalışşa çalışsa
fılm film
aci acı
semsiyeleri şemsiyeleri
cocuklar çocuklar
jock Jack
eger eğer
insalar insanlar
şevkat şefkat
klübesi kulübe
piano piyano
siara sigara
muda moda
bug bugün
gaymak kaymak
esnasnda esnasında
fabrik fabrika
diyebilirz diyebiliriz
one öne
elenor Eleanor
makinasi makinesi
gidik gıdık
orjinalin orijinalin
olduunda olduğunda
kendsini kendisini
zellanda Zelanda
olacaktr olacaktır
ticarı ticari
duvaları duvarları
sort şort
kultur kültür
sedece sadece
btn bütün
tölerans tolerans
morel moral
concept konsept
titanic Titanic'e
dali dalı
siteril steril
bont mont
açıkcası açıkçası
aah ah
cornella Cornelia
oren ören
olu olur
steps step
herry Harry
dezavantaji dezavantajı
kirk kırk
yardm yardım
bıraz biraz
bazende bazen
sunni suni
old oldu
akin akın
coğu çoğu
daki dakika
edavat edevat
fazlasyla fazlasıyla
eğtim eğitim
çk çok
doctor doktor
kanape kanepe
çer çerçeve
kard kar
suite süite
les leş
boomerang bumerang
baska başka
kişişel kişisel
zaafiyetleri zafiyetleri
fisk fiske
bri bir
espirileri esprileri
johhny Johnny
avantajli avantajlı
orda orada
hanfendi hanımefendi
tüfenk tüfek
dei dedi
söylecek söyleyecek
içerde içeride
metodları metot
rocks Rock
firm firma
diyalogun diyaloğun
azindan azından
minnik minik
kapp kap
meğersem meğer
çoluk çocuk
olacagını olacağını
aracılığla aracılık
animator animatör
saci saç
mayk Mike
tarcih tercih
blen blender
uzerinden üzerinden
yanınd yanında
olmadığnı olmadığını
sons son
tarafndan tarafından
waters Water
barista barışta
espiri espri
donüş dönüş
suziki Suzuki
klum kum
snake snacke
ağrlıklı ağırlıklı
muammelesi muamelesi
ocuk çocuk
dahl dahil
nezninde nezdinde
farkl farklı
olduundan olduğundan
hazr hazır
praym prime
refarans referans
cargo kargo
hazi hazine
yavaşca yavaşça
yapıştırcı yapıştırıcı
gib gibi
franck frank
macer macera
gosterilen gösterilen
widows Windows
profesor profesör
iydi iyi
arsında ardında
dışardaki dışarıdaki
dikkatlı dikkatli
şeklınde şeklinde
vucüt vücut
aferim aferin
diger diğer
hastahanede hastanede
acet acente
bros broş
johnsons Johnson
cekiyor çekiyor
ett et
glam gram
serbes serbest
ayırılması ayrılması
tae taş
lar Lara
fazil Fazıl
oduğunu olduğunu
leri ile
aliyor alıyor
putra pudra
onemlisi önemlisi
mavis Maviş
lere kere
seyi şeyi
yı yıl
resimini resmini
lai laik
ritm ritim
müdahelesi müdahalesi
dan dam
işci işçi
performance performans
oscarı Oscar'ı
lezziz Leziz
dier diğer
şurda şurada
loves Love
anlamnda anlamında
soylemek söylemek
geiyor geliyor
deilim değilim
esk eski
ingmar ingilizce
lambda lamba
olmas olmaz
off of
maus mouse
killers killer
arasnda arasında
açısındn açısından
maul Mail
fane tane
maui Mail
banks banka
sakip Sakıp
olmad olmadı
roses Rose
jesper Casper
hissettiyor hissettiriyor
stajerler stajyerler
buyrun buyur
yakınen yakinen
güçü gücü
içün için
olamdan olmadan
kako kasko
britt brit
restaurantı restoranı
nacizane naçizane
vaadler vaat
gei geri
verıp verip
miş mi
bır bir
perfomansı performansı
altn altın
süprizleri sürprizleri
düşünuyorum düşünüyorum
içerdeyken içerideyken
konteynırı konteyner
