Virmani Virmanı
Tarihı Tarihi
masti maştı
Breslin Breşlin
Arabani Arabanı
lıyı liyi
ECRI ECRİ
ÇİK ÇIK
ısar işar
TIME TİME
Masina Maşına
major majör
ahsi ahsı
Igor İgor
Collen Çöllen
Sigman Sığman
Fariz Farız
Iphone İphone
Ice İçe
use üşe
minor minör
Intime İntime
lose löse
Arsen Arşen
du dü
Ingrid İngrid
tıtrine titrine
Gon Gön
Nature Natüre
takati takatı
SINEMA SİNEMA
idolu idolü
futurist fütürist
over över
Carlin Çarlın
açimdan açımdan
Avi Avı
Sica Sıça
pita pıta
ımsı imsi
hâlin hâlın
akibetini akıbetini
destin deştin
com çöm
Batista Batışta
mac maç
MICHAEL MİCHAEL
Bon Bön
Sagan Sağan
Dude Düde
monologu monoloğu
Yolandi Yolandı
Caren Çaren
Manson Manşon
kinda kında
meselere meşelere
Intern İntern
cük çük
Ifritli İfritli
Ibrahim İbrahim
Palin Palın
ork örk
Ines İnes
sanirim sanırım
Karas Karaş
Aris Arış
Astin Astın
Inek İnek
Imogen İmogen
Salem Şalem
Korelilere Körelilere
It İt
Is İs
öc öç
Ip İp
Irina İrina
Calista Çalışta
tı ti
gencini gençini
Stolen Stölen
Dove Döve
Bengalli Bengallı
Uşun Üşün
Idris İdris
Iris Irıs
ızbandut izbandut
Ivory İvory
Dune Düne
janti jantı
Goyer Göyer
Sir Şir
İŞID İŞİD
self şelf
Tunes Tüneş
Harari Hararı
Civil Cıvıl
tiğ tığ
minimalin minimalın
Nıck Nick
papelles papelleş
Ipod İpod
Comer Çömer
Florence Flörence
Prelude Prelüde
Tosca Tosça
Harlin Harlın
Ivan İvan
come çöme
universal üniversal
dure düre
suitli süitli
Saturn Satürn
prologu proloğu
Günşiray Günşıray
cina çına
figuran figüran
VIDEO VİDEO
Oden Öden
host hoşt
hapisin hapısın
LIFE LİFE
Uçer Üçer
tune tüne
Paganini Paganını
Gone Göne
